fold,val_auc,test_auc,val_acc,test_acc
0,0.7459059018784419,0.8063056470607958,0.5833333333333334,0.7291666666666666
1,0.6523345152178104,0.6327295663908936,0.5416666666666666,0.5416666666666666
2,0.7537736481672409,0.8138225999782064,0.6041666666666666,0.6666666666666666
3,0.7832942724704739,0.8028752483214726,0.6041666666666666,0.625
4,0.8144255287047049,0.7495531470817512,0.6875,0.6041666666666666
5,0.7640431345923338,0.7499876782256645,0.6666666666666666,0.625
6,0.8633874820831343,0.6268203116486869,0.6666666666666666,0.5625
7,0.765523843052447,0.7546955180593624,0.6041666666666666,0.5416666666666666
8,0.7237982078943178,0.8423544647572108,0.625,0.6666666666666666
9,0.7882441890679878,0.7569899665551839,0.5833333333333334,0.6041666666666666
