fold,val_auc,test_auc,val_acc,test_acc,test_precision,test_recall,test_f1
0,0.7459059018784419,0.8063056470607958,0.5833333333333334,0.7291666666666666,0.688888888888889,0.6451282051282051,0.6588200849070415
1,0.6523345152178104,0.6327295663908936,0.5416666666666666,0.5416666666666666,0.5185185185185185,0.42820512820512824,0.41906232676011723
2,0.7537736481672409,0.8138225999782064,0.6041666666666666,0.6666666666666666,0.590175150519978,0.5728205128205128,0.5759186637618011
3,0.7832942724704739,0.8028752483214726,0.6041666666666666,0.625,0.6255555555555555,0.5507692307692308,0.5377156177156177
4,0.8144255287047049,0.7495531470817512,0.6875,0.6041666666666666,0.5380952380952381,0.5205128205128206,0.525485370522286
5,0.7640431345923338,0.7499876782256645,0.6666666666666666,0.625,0.5063492063492063,0.4815384615384615,0.46287625418060196
6,0.8633874820831343,0.6268203116486869,0.6666666666666666,0.5625,0.4065315315315316,0.4215384615384616,0.3952892985151049
7,0.765523843052447,0.7546955180593624,0.6041666666666666,0.5416666666666666,0.5283882783882784,0.46051282051282044,0.48132586367880487
8,0.7237982078943178,0.8423544647572108,0.625,0.6666666666666666,0.5816287878787879,0.5435897435897435,0.5304928989139516
9,0.7882441890679878,0.7569899665551839,0.5833333333333334,0.6041666666666666,0.5411111111111111,0.5420512820512821,0.49611635927425396
